direction, station|Glasgow Queen Street|0, station|Bishopbriggs|3.6, station|Lenzie|7.5, station|Croy|12.6, station|Falkirk High|23.8, station|Polmont|31.2, station|Linlithgow|33.2, station|Haymarket|44.9, station|Edinburgh|46.2
E, 06:00, , , , 06:18, 06:23, 06:29, 06:45, 06:50
E, 06:30, , 06:38, , 06:51, 06:56, 07:02, 07:18, 07:23
E, 06:45, , , 06:58, 07:08, , 07:16, 07:32, 07:37
E, 07:00, , 07:08, , 07:21, 07:26, 07:33, 07:50, 07:55
E, 07:15, , , , 07:34, 07:39, 07:45, 08:01, 08:06
E, 07:30, , , 07:43, 07:53, , 08:01, 08:18, 08:23
E, 07:45, , , , 08:05, 08:10, 08:16, 08:32, 08:37
E, 08:00, , , 08:12, 08:22, 08:27, , 08:46, 08:52
E, 08:15, , , , 08:34, , 08:44, 09:04, 09:09
E, 08:30, , , 08:43, 08:53, , , 09:16, 09:23
E, 08:45, , , , 09:04, 09:09, 09:15, 09:34, 09:39
E, 09:00, , , 09:12, 09:22, , , 09:46, 09:51
E, 09:15, , , , 09:35, 09:40, 09:46, 10:01, 10:07
E, 09:30, , , 09:42, 09:52, , , 10:17, 10:22
E, 09:45, , , , 10:03, 10:08, 10:14, 10:31, 10:36
E, 10:00, , , 10:12, 10:22, , , 10:46, 10:51
E, 10:15, , , , 10:33, 10:38, 10:44, 11:02, 11:07
E, 10:30, , , 10:42, 10:52, , , 11:16, 11:21
E, 10:45, , , , 11:04, 11:09, 11:15, 11:33, 11:40
E, 11:00, , , 11:12, 11:22, , , 11:47, 11:53
E, 11:15, , , , 11:34, 11:39, 11:45, 12:01, 12:06
E, 11:30, , , 11:42, 11:52, , , 12:13, 12:19
E, 11:45, , , , 12:04, 12:09, 12:15, 12:30, 12:36
E, 12:00, , , 12:13, 12:23, , , 12:45, 12:51
E, 12:15, , , , 12:33, 12:38, 12:44, 13:00, 13:07
E, 12:30, , , 12:42, 12:52, , , 13:14, 13:21
E, 12:45, , , , 13:03, 13:08, 13:14, 13:32, 13:38
E, 13:00, , , 13:12, 13:22, , , 13:46, 13:51
E, 13:15, , , , 13:34, 13:39, 13:45, 14:02, 14:07
E, 13:30, , , 13:42, 13:52, , , 14:16, 14:23
E, 13:45, , , , 14:03, 14:08, 14:14, 14:33, 14:39
E, 14:00, , , 14:12, 14:22, , , 14:46, 14:52
E, 14:15, , , , 14:33, 14:38, 14:44, 15:02, 15:07
E, 14:30, , , 14:42, 14:52, , , 15:16, 15:21
E, 14:45, , , , 15:03, 15:08, 15:14, 15:30, 15:36
E, 15:00, , , 15:12, 15:22, , , 15:46, 15:52
E, 15:15, , , , 15:33, 15:38, 15:44, 16:01, 16:06
E, 15:30, , , 15:42, 15:52, , , 16:13, 16:19
E, 15:45, , , , 16:03, 16:08, 16:14, 16:31, 16:39
E, 16:00, , , 16:12, 16:22, , , 16:42, 16:49
E, 16:15, , , , 16:34, 16:39, 16:45, 17:01, 17:06
E, 16:30, , , 16:42, 16:52, , , 17:16, 17:22
E, 16:45, , , , 17:06, 17:11, 17:17, 17:34, 17:39
E, 17:00, , , 17:12, 17:22, 17:27, , 17:46, 17:52
E, 17:15, , , , 17:36, , 17:44, 18:05, 18:11
E, 17:30, , , 17:42, 17:52, 17:57, 18:04, 18:20, 18:25
E, 17:45, , , , 18:05, 18:10, 18:16, 18:32, 18:37
E, 18:00, , , 18:14, 18:24, , , 18:44, 18:51
E, 18:15, , , , 18:34, 18:39, 18:45, 19:02, 19:07
E, 18:30, , , 18:43, 18:53, , , 19:14, 19:21
E, 18:45, , , , 19:05, 19:10, 19:16, 19:32, 19:37
E, 19:00, , , 19:12, 19:22, , , 19:42, 19:49
E, 19:15, , , , 19:33, 19:39, 19:45, 20:01, 20:06
E, 19:30, , , , 19:48, 19:53, 19:59, 20:18, 20:24
E, 20:00, , , 20:12, 20:22, , 20:30, 20:46, 20:52
E, 20:30, , , , 20:49, 20:54, 21:00, 21:15, 21:21
E, 21:00, , , 21:12, 21:22, , 21:29, 21:45, 21:52
E, 21:30, , , , 21:50, 21:55, 22:01, 22:17, 22:22
E, 22:00, , , 22:12, 22:22, , 22:30, 22:46, 22:52
E, 22:30, , , , 22:49, 22:54, 23:00, 23:15, 23:22
E, 23:00, , , 23:12, 23:22, 23:27, 23:34, 23:50, 23:55
E, 23:30, , , 23:42, 23:52, 23:57, 24:04, 24:19, 24:24
W, 06:49, , , 06:35, 06:26, 06:21, 06:15, 06:00, 05:55
W, 07:25, ,  , 07:11, 07:01, 06:56, 06:49, 06:34, 06:30
W, 07:37, ,  , 07:23, 07:14, , 07:05, 06:49, 06:45
W, 07:51, ,  , , 07:27, 07:22, , 07:04, 07:00
W, 08:08, ,  , 07:54, 07:44, , 07:35, 07:19, 07:15
W, 08:25, ,  , 08:11, 08:01, 07:56, 07:50, 07:35, 07:30
W, 08:40, ,  08:27, , 08:15, , 08:06, 07:49, 07:45
W, 08:55, ,  , 08:40, 08:30, 08:25, , 08:05, 08:00
W, 09:08, ,  , , 08:47, 08:42, 08:35, 08:20, 08:15
W, 09:19, ,  , 09:05, 08:55, , , 08:34, 08:30
W, 09:37, ,  , , 09:17, 09:12, 09:05, 08:50, 08:45
W, 09:51, ,  , 09:36, 09:25, , , 09:05, 09:00
W, 10:07, ,  , , 09:47, 09:42, 09:35, 09:20, 09:15
W, 10:21, ,  , 10:06, 09:56, , , 09:34, 09:30
W, 10:36, ,  , , 10:16, 10:11, 10:05, 09:50, 09:45
W, 10:51, ,  , 10:37, 10:27, , , 10:05, 10:00
W, 11:06, ,  , , 10:46, 10:41, 10:35, 10:20, 10:15
W, 11:19, ,  , 11:05, 10:56, , , 10:35, 10:30
W, 11:37, ,  , , 11:15, 11:10, 11:04, 10:49, 10:45
W, 11:49, ,  , 11:34, 11:25, , , 11:04, 11:00
W, 12:07, ,  , , 11:46, 11:42, 11:35, 11:19, 11:15
W, 12:22, ,  , 12:06, 11:56, , , 11:35, 11:30
W, 12:37, ,  , , 12:16, 12:11, 12:05, 11:49, 11:45
W, 12:50, ,  , 12:36, 12:27, , , 12:05, 12:00
W, 13:06, , , , 12:46, 12:41, 12:35, 12:20, 12:15
W, 13:19, , , 13:05, 12:55, , , 12:35, 12:30
W, 13:38, , , , 13:17, 13:13, 13:06, 12:49, 12:45
W, 13:51, , , 13:36, 13:27, , , 13:05, 13:00
W, 14:06, , , , 13:46, 13:41, 13:35, 13:20, 13:15
W, 14:19, , , 14:05, 13:56, , , 13:35, 13:30
W, 14:36, , , , 14:15, 14:11, 14:04, 13:49, 13:45
W, 14:48, , , 14:34, 14:25, , , 14:04, 14:00
W, 15:06, , , , 14:46, 14:41, 14:35, 14:19, 14:15
W, 15:21, , , 15:06, 14:57, , , 14:35, 14:30
W, 15:36, , , , 15:16, 15:11, 15:05, 14:50, 14:45
W, 15:51, , , 15:36, 15:26, , , 15:05, 15:00
W, 16:06, , , , 15:46, 15:41, 15:35, 15:20, 15:15
W, 16:21, , , 16:06, 15:56, , , 15:34, 15:30
W, 16:36, , , , 16:16, 16:11, 16:05, 15:50, 15:45
W, 16:52, , , 16:36, 16:26, , , 16:05, 16:00
W, 17:07, , , , 16:47, 16:42, 16:35, 16:20, 16:15
W, 17:21, , , 17:06, 16:55, , , 16:34, 16:30
W, 17:39, , , , 17:19, 17:14, 17:07, 16:51, 16:45
W, 17:51, , , 17:36, 17:26, , , 17:05, 17:00
W, 18:07, , , , 17:47, 17:42, 17:35, 17:20, 17:15
W, 18:24, , 18:11, 18:06, 17:56, , , 17:35, 17:30
W, 18:39, , , , 18:19, 18:14, 18:07, 17:50, 17:45
W, 18:50, , , 18:36, 18:26, , , 18:06, 18:00
W, 19:09, , , , 18:48, 18:43, 18:36, 18:21, 18:15
W, 19:20, , , 19:06, 18:55, , , 18:34, 18:30
W, 19:36, , , , 19:16, 19:11, 19:05, 18:49, 18:45
W, 19:51, , , 19:36, 19:27, , , 19:05, 19:00
W, 20:09, , , , 19:46, 19:42, 19:35, 19:20, 19:15
W, 20:24, , , 20:10, 20:01, , 19:52, 19:35, 19:30
W, 20:51, , , , 20:31, 20:26, 20:20, 20:05, 20:00
W, 21:25, , , 21:10, 21:01, , 20:52, 20:35, 20:30
W, 21:25, , , 21:10, 21:01, , 20:52, 20:35, 20:30
W, 21:25, , , 21:10, 21:01, , 20:52, 20:35, 20:30
W, 21:51, , , , 21:31, 21:26, 21:20, 21:05, 21:00
W, 22:25, , , 22:10, 21:59, , 21:50, 21:34, 21:30
W, 22:25, , , 22:10, 21:59, , 21:50, 21:34, 21:30
W, 22:25, , , 22:10, 21:59, , 21:50, 21:34, 21:30
W, 22:51, , , , 22:30, 22:25, 22:19, 22:04, 22:00
W, 23:22, , , 23:08, 22:59, , 22:50, 22:34, 22:30
W, 23:22, , , 23:08, 22:59, , 22:50, 22:34, 22:30
W, 23:22, , , 23:08, 22:59, , 22:50, 22:34, 22:30
W, 23:59, 23:50, 23:46, 23:40, 23:30, 23:26, 23:19, 23:05, 23:00
W, 24:27, , 24:16, 24:11, 24:01, 23:56, 23:49, 23:34, 23:30
